Parent KZA,Daughter KZA,Emitted Particles,Cross Sections
22481,224810,nd,"[7.092369999999999e-14, 4.544467e-08, 5.7023170000000004e-05]"
22481,224810,nt),[6.6045999999999995e-12]
22481,224810,n3He,[6.78444e-17]
22481,214790,2np,[6.500880000000001e-08]
22481,204790,n2p,"[7.215980000000001e-15, 4.16701e-14, 5.799366e-08]"
22481,214800,npα,[1.67332e-19]
22481,224811,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.016408370000000002, 0.16527570000000003, 0.4776699, 1.004623, 1.11986, 1.06123, 1.030326, 1.014222, 0.9892603, 0.9597267, 0.9273030000000001, 0.8711619000000002, 0.8333402, 0.7841249000000001, 0.7171723000000001, 0.6529253, 0.5956696, 0.5267079, 0.478963, 0.4506975, 0.42767410000000006, 0.4159859, 0.3904136, 0.35213910000000004, 0.33040500000000006, 0.3191918, 0.30740310000000004, 0.2949998, 0.2819723, 0.26827320000000004, 0.2549718, 0.24485160000000003, 0.2345528, 0.2251459, 0.21625130000000004, 0.20695770000000002, 0.1984486, 0.1900446, 0.1826462, 0.17627710000000002, 0.16606300000000002, 0.1551451, 0.14936000000000002, 0.14665930000000002, 0.1455792, 0.1443671, 0.1377389, 0.12713170000000001, 0.118784, 0.11283280000000001, 0.10378570000000001, 0.09262701, 0.08541776000000001, 0.08146934, 0.07732657, 0.07339956, 0.06986233, 0.0665549, 0.06328857, 0.0604805, 0.057853009999999996, 0.055186120000000005, 0.052930710000000006, 0.05065363, 0.04842832, 0.04644201, 0.043971970000000006, 0.041387890000000004, 0.03957975, 0.03799645, 0.03640876, 0.03475206, 0.03318733, 0.031598470000000003, 0.02996609, 0.028380350000000002, 0.0267313, 0.02511839, 0.02346905, 0.02185904, 0.020238420000000003, 0.018936500000000002, 0.018159909999999998, 0.017764040000000002, 0.017496730000000002, 0.01686393, 0.01563992, 0.01419727, 0.012818570000000001, 0.01152042, 0.01029236, 0.009137126, 0.0075881030000000006, 0.0057820169999999995, 0.00416839, 0.003082095, 0.0025878230000000004, 0.00215562, 0.001781982, 0.001460724, 0.001186278, 0.0009552314000000001, 0.0007888167, 0.0007006484, 0.0005999426, 0.00046761210000000004, 0.0003598375, 0.00027393830000000004, 0.00020639590000000001, 0.0001521928, 0.0001103678, 7.870758e-05, 5.469421e-05, 3.770618e-05, 2.560085e-05, 1.709707e-05, 1.2412460000000002e-05, 9.443758999999999e-06, 6.306047999999999e-06, 4.994095999999999e-06, 4.005899999999999e-06, 3.217492e-06, 2.581743e-06, 2.023404e-06, 1.044586e-06, 7.032401e-07, 5.209118e-07, 2.444002e-07]"
22481,224812,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.04521051, 0.4553895, 1.31614, 2.768124, 3.086617, 2.925882, 2.841165, 2.797017, 2.728587, 2.647624, 2.558738, 2.404855, 2.301284, 2.16656, 1.983281, 1.807409, 1.650675, 1.462101, 1.33194, 1.254807, 1.191943, 1.159957, 1.089977, 0.9855943, 0.9265744, 0.8960495, 0.8639576, 0.8301925000000001, 0.7947283, 0.7574358000000001, 0.7211892, 0.6934713000000001, 0.6652472, 0.6394166000000001, 0.6149514, 0.5894079, 0.5664812, 0.5440647000000001, 0.5242358, 0.507054, 0.4794997000000001, 0.4500469, 0.43444079999999996, 0.42715500000000006, 0.42424140000000005, 0.4209819000000001, 0.4033611, 0.3749597, 0.35257150000000004, 0.33662260000000005, 0.312485, 0.2824667, 0.2631562, 0.2530601, 0.2424697, 0.23235260000000002, 0.2233565, 0.21493910000000002, 0.206575, 0.1994157, 0.1927367, 0.1859511, 0.1801737, 0.1743313, 0.1685223, 0.163283, 0.1564665, 0.149197, 0.1440712, 0.1392171, 0.13424270000000002, 0.1290289, 0.1237728, 0.1183155, 0.1126396, 0.106879, 0.1008578, 0.09483438, 0.08862207, 0.08250083999999999, 0.07630656000000001, 0.07131030000000001, 0.0683238, 0.06680141, 0.06577341, 0.0633445, 0.05865506, 0.05313861, 0.047884130000000004, 0.04296303, 0.03833758, 0.03401507, 0.02826939, 0.02163985, 0.01574692, 0.011770810000000001, 0.009967496000000001, 0.008381881, 0.006999336, 0.0057984049999999995, 0.0047597030000000005, 0.00387268, 0.003225306, 0.002878705, 0.00247873, 0.0019473609999999999, 0.0015086470000000001, 0.0011547579999999999, 0.0008737393000000001, 0.0006468597, 0.0004709146, 0.0003372826, 0.0002356624, 0.000163558, 0.00011194930000000002, 7.544803e-05, 5.5183020000000005e-05, 4.2234140000000006e-05, 2.842856e-05, 2.26049e-05, 1.819392e-05, 1.4654010000000001e-05, 1.1788000000000001e-05, 9.259672999999998e-06, 4.798390999999999e-06, 3.234968e-06, 2.398443e-06, 1.126433e-06]"
22481,224813,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.011878679999999999, 0.1196497, 0.3458045, 0.7274106, 0.8131352000000001, 0.7725695, 0.751194, 0.7400547000000001, 0.7227887000000001, 0.7023605, 0.6799332, 0.6411439, 0.6152118, 0.5815658, 0.5357938, 0.49187139999999996, 0.45272860000000004, 0.4059326000000001, 0.3742051, 0.3552748, 0.33978860000000005, 0.33179090000000006, 0.3142927, 0.2889194, 0.27516240000000003, 0.2679362, 0.26033900000000004, 0.2523456, 0.2439501, 0.23512170000000002, 0.2264828, 0.2196554, 0.21267680000000003, 0.2062064, 0.20001060000000004, 0.1935678, 0.1884161, 0.18369690000000002, 0.1794142, 0.17557730000000002, 0.16942400000000002, 0.1628467, 0.1593616, 0.1577346, 0.157084, 0.1563749, 0.15294960000000002, 0.1472475, 0.1427179, 0.1394766, 0.1342637, 0.1274854, 0.1234269, 0.12217340000000002, 0.1208643, 0.11959090000000001, 0.11873560000000001, 0.1180351, 0.1173279, 0.11682440000000001, 0.11641950000000001, 0.11601520000000001, 0.1157136, 0.11541570000000001, 0.115042, 0.1146631, 0.1136742, 0.11240190000000001, 0.1114271, 0.10978280000000001, 0.10790310000000002, 0.10588260000000001, 0.10313440000000001, 0.1000396, 0.09666205, 0.09267564, 0.08843807000000001, 0.08383708000000001, 0.07895088, 0.0739307, 0.06873208, 0.06444628, 0.061855770000000004, 0.06053523, 0.05964353, 0.05751545, 0.05336678, 0.048468950000000004, 0.043781280000000006, 0.03938459, 0.035248879999999996, 0.03138586, 0.02626673, 0.020372770000000002, 0.01509854, 0.01149899, 0.009874873, 0.008434005000000001, 0.007163407, 0.006042937, 0.00505635, 0.004194426, 0.003551659, 0.003201052, 0.002789147, 0.002230007, 0.0017556350000000002, 0.001362923, 0.001043583, 0.0007813299, 0.0005746465, 0.00041558510000000003, 0.00029329960000000005, 0.00020571320000000004, 0.00014246080000000002, 9.726881000000001e-05, 7.191904e-05, 5.5546770000000006e-05, 3.7888340000000004e-05, 3.0346220000000002e-05, 2.458665e-05, 1.992134e-05, 1.6118070000000002e-05, 1.2735730000000001e-05, 6.685208e-06, 4.537302e-06, 3.3817469999999996e-06, 1.601748e-06]"
22481,224814,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.02635465, 0.2654611, 0.7672199000000001, 1.613722, 1.801133, 1.708851, 1.660217, 1.634872, 1.595588, 1.549109, 1.498082, 1.409767, 1.350452, 1.273357, 1.168477, 1.067835, 0.9781446000000001, 0.8704795000000001, 0.7966300000000001, 0.7527452000000001, 0.7169274, 0.6985975, 0.6584939000000001, 0.5990884000000001, 0.5657704, 0.5484394, 0.5302188, 0.5110482000000001, 0.49091290000000004, 0.46973960000000003, 0.4491116, 0.4331533000000001, 0.4168813, 0.4019214, 0.3876974, 0.37285900000000005, 0.359843, 0.34726880000000004, 0.336056, 0.3262351, 0.3104855, 0.29365070000000004, 0.2847305, 0.28056610000000004, 0.2789007, 0.2770451, 0.2671564, 0.2510439, 0.23831159999999998, 0.2292093, 0.2148573, 0.196727, 0.1851152, 0.1793401, 0.17328390000000002, 0.16745810000000003, 0.16234150000000003, 0.1575564, 0.15277970000000002, 0.1488083, 0.145178, 0.1414998, 0.13842859999999998, 0.1353349, 0.1322635, 0.1294957, 0.1257637, 0.1217261, 0.11885060000000001, 0.1158621, 0.1127278, 0.1094206, 0.1057734, 0.10188040000000001, 0.09775375, 0.09329259000000001, 0.08859364, 0.08369426, 0.07856345, 0.07338012000000001, 0.06806077, 0.06370526, 0.061081640000000006, 0.05974422, 0.058841130000000005, 0.05668869, 0.052497850000000006, 0.04754712, 0.04280317, 0.03834459, 0.03414493, 0.03021502, 0.024998589999999998, 0.01901512, 0.01376587, 0.01026764, 0.008696358999999999, 0.0073241420000000005, 0.006135619, 0.005106325, 0.004217360000000001, 0.003456228, 0.0028982039999999997, 0.00259757, 0.0022484600000000003, 0.001780446, 0.00138904, 0.001069086, 0.0008118315000000001, 0.0006023741000000001, 0.00043879140000000004, 0.0003140589, 0.0002191452, 0.00015194470000000002, 0.0001040211, 7.024495e-05, 5.152551e-05, 3.95604e-05, 2.6776170000000004e-05, 2.1362540000000004e-05, 1.7249370000000003e-05, 1.393462e-05, 1.1241850000000001e-05, 8.856565e-06, 4.616556e-06, 3.120435e-06, 2.317727e-06, 1.090311e-06]"
22481,224815,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.01669768, 0.1681898, 0.4860923, 1.022463, 1.142084, 1.084345, 1.053919, 1.038063, 1.013486, 0.9844073, 0.9524835, 0.8972435000000001, 0.860193, 0.8120618000000001, 0.746584, 0.6837522, 0.6277576, 0.5606127, 0.5146834, 0.4873292, 0.46498090000000003, 0.4534991, 0.42837800000000004, 0.3911566, 0.37021250000000006, 0.35928540000000003, 0.3477975, 0.3357105, 0.3230153, 0.3096656, 0.29664510000000005, 0.2865163, 0.2761818, 0.2666598, 0.25758960000000003, 0.2481331, 0.2399705, 0.2321532, 0.2251533, 0.21898870000000004, 0.2091026, 0.19853540000000003, 0.1929362, 0.19032210000000002, 0.18927680000000002, 0.18811270000000002, 0.1819164, 0.17177, 0.1637436, 0.15797090000000003, 0.1483002, 0.1359597, 0.1279431, 0.12374790000000001, 0.1193473, 0.11511460000000001, 0.1112693, 0.10763100000000002, 0.10400730000000001, 0.1010249, 0.09831873999999999, 0.09557259, 0.09325369, 0.0909124, 0.08857709, 0.08646675999999999, 0.08365855, 0.08063618, 0.0784933, 0.07635462999999999, 0.07413346, 0.0717961, 0.06930877, 0.0666818, 0.06391533, 0.060987349999999996, 0.05791052, 0.054735980000000004, 0.05142387, 0.04808998, 0.04467504, 0.04187896000000001, 0.04019472, 0.03933616, 0.03875642, 0.03737229, 0.034672930000000005, 0.03147694, 0.028403139999999997, 0.025500340000000003, 0.02275446, 0.02017312, 0.01672382, 0.012739970000000002, 0.009220474, 0.006867736, 0.005808244000000001, 0.004882741, 0.004081264, 0.0033881220000000004, 0.002790434, 0.002279934, 0.0019066240000000002, 0.001706059, 0.001473668, 0.0011631270000000001, 0.0009045306000000001, 0.0006940737, 0.0005255888, 0.00038886, 0.00028242720000000004, 0.00020151150000000004, 0.0001401161, 9.677885e-05, 6.59803e-05, 4.4365870000000006e-05, 3.2437630000000005e-05, 2.484496e-05, 1.67657e-05, 1.3357750000000001e-05, 1.077444e-05, 8.697298e-06, 7.012279999999999e-06, 5.521829e-06, 2.876967e-06, 1.944485e-06, 1.4442759999999998e-06, 6.793220999999999e-07]"
